-- 200개 마일리지 내역 가데이터 (적립금 2% 계산 반영)
-- ------------------------------------------------

INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (1, '관리자추가', 500, 500, '2024-03-31', NULL, 'CUS198');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (2, '적립', 10800, 10800, '2023-12-22', 'ORD123', 'CUS105');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (3, '관리자감소', -1500, 9300, '2025-02-10', NULL, 'CUS105');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (4, '관리자감소', 0, 0, '2025-10-18', NULL, 'CUS099');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (5, '관리자추가', 2000, 2000, '2021-09-15', NULL, 'CUS177');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (6, '적립', 8040, 8540, '2022-07-09', 'ORD169', 'CUS198');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (7, '관리자감소', 0, 0, '2021-07-24', NULL, 'CUS135');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (8, '관리자추가', 3000, 3000, '2021-06-08', NULL, 'CUS052');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (9, '관리자추가', 3000, 3000, '2021-07-29', NULL, 'CUS159');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (10, '관리자감소', 0, 0, '2021-04-02', NULL, 'CUS195');
INSERT INTO customer_Mileage (MILEAGE_ID, MILEAGE_YN, CHANGE_MIL, REMAIN_MIL, MILEAGE_DATE, ORDER_CODE, CUS_ID) VALUES (11, '적립', 3600, 6600, '2025-01-08', 'ORD248', 'CUS052');
